"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 26 21:49:50 CET 2026","Mon Jan 26 21:49:53 CET 2026","3352","tests.ui","test_login_parametrized","","","","test_login_parametrized_csv[data0]",""
"passed","Mon Jan 26 21:49:33 CET 2026","Mon Jan 26 21:49:34 CET 2026","725","tests.api","test_login_api","","","","test_login_api",""
"passed","Mon Jan 26 21:49:34 CET 2026","Mon Jan 26 21:49:35 CET 2026","804","tests.api","test_update_user","","","","test_update_user",""
"passed","Mon Jan 26 21:49:29 CET 2026","Mon Jan 26 21:49:30 CET 2026","899","tests.api","test_api_users","","","","test_create_user[data2]",""
"passed","Mon Jan 26 21:49:30 CET 2026","Mon Jan 26 21:49:30 CET 2026","699","tests.api","test_api_users","","","","test_create_user[data3]",""
"passed","Mon Jan 26 21:49:46 CET 2026","Mon Jan 26 21:49:50 CET 2026","3502","tests.ui","test_login_parametrized","","","","test_login_parametrized_json[data2]",""
"passed","Mon Jan 26 21:49:56 CET 2026","Mon Jan 26 21:50:00 CET 2026","3359","tests.ui","test_login_ui","","","","test_login",""
"passed","Mon Jan 26 21:49:33 CET 2026","Mon Jan 26 21:49:33 CET 2026","737","tests.api","test_get_users","","","","test_get_users",""
"passed","Mon Jan 26 21:49:30 CET 2026","Mon Jan 26 21:49:30 CET 2026","669","tests.api","test_api_users","","","","test_create_user[data0]",""
"passed","Mon Jan 26 21:49:29 CET 2026","Mon Jan 26 21:49:30 CET 2026","721","tests.api","test_api_users","","","","test_get_user_by_id",""
"passed","Mon Jan 26 21:49:50 CET 2026","Mon Jan 26 21:49:54 CET 2026","3866","tests.ui","test_login_parametrized","","","","test_login_parametrized_csv[data1]",""
"passed","Mon Jan 26 21:49:34 CET 2026","Mon Jan 26 21:49:35 CET 2026","1404","tests.api","test_create_user","","","","test_create_user[data3]",""
"passed","Mon Jan 26 21:49:35 CET 2026","Mon Jan 26 21:49:39 CET 2026","3896","tests.ui","test_add_to_cart","","","","test_add_to_cart",""
"passed","Mon Jan 26 21:49:31 CET 2026","Mon Jan 26 21:49:32 CET 2026","1439","tests.api","test_create_user","","","","test_create_user[data1]",""
"passed","Mon Jan 26 21:49:36 CET 2026","Mon Jan 26 21:49:40 CET 2026","4383","tests.ui","test_inventory_ui","","","","test_add_remove_cart",""
"passed","Mon Jan 26 21:49:39 CET 2026","Mon Jan 26 21:49:43 CET 2026","4104","tests.ui","test_checkout","","","","test_checkout",""
"passed","Mon Jan 26 21:49:43 CET 2026","Mon Jan 26 21:49:46 CET 2026","3441","tests.ui","test_inventory_filters","","","","test_inventory_filters",""
"passed","Mon Jan 26 21:49:30 CET 2026","Mon Jan 26 21:49:31 CET 2026","727","tests.api","test_api_users","","","","test_create_user[data1]",""
"passed","Mon Jan 26 21:49:54 CET 2026","Mon Jan 26 21:49:58 CET 2026","3231","tests.ui","test_login_parametrized","","","","test_login_parametrized_csv[data3]",""
"passed","Mon Jan 26 21:49:47 CET 2026","Mon Jan 26 21:49:50 CET 2026","3192","tests.ui","test_login_parametrized","","","","test_login_parametrized_json[data3]",""
"passed","Mon Jan 26 21:49:53 CET 2026","Mon Jan 26 21:49:56 CET 2026","2990","tests.ui","test_login_parametrized","","","","test_login_parametrized_csv[data2]",""
"passed","Mon Jan 26 21:49:30 CET 2026","Mon Jan 26 21:49:32 CET 2026","1444","tests.api","test_create_user","","","","test_create_user[data0]",""
"passed","Mon Jan 26 21:49:35 CET 2026","Mon Jan 26 21:49:36 CET 2026","700","tests.api","test_delete_user","","","","test_delete_user",""
"passed","Mon Jan 26 21:49:40 CET 2026","Mon Jan 26 21:49:44 CET 2026","3482","tests.ui","test_login_parametrized","","","","test_login_parametrized_json[data0]",""
"passed","Mon Jan 26 21:49:44 CET 2026","Mon Jan 26 21:49:47 CET 2026","3417","tests.ui","test_login_parametrized","","","","test_login_parametrized_json[data1]",""
"passed","Mon Jan 26 21:49:58 CET 2026","Mon Jan 26 21:50:01 CET 2026","3356","tests.ui","test_remove_from_cart","","","","test_remove_from_cart",""
"passed","Mon Jan 26 21:49:32 CET 2026","Mon Jan 26 21:49:34 CET 2026","1477","tests.api","test_create_user","","","","test_create_user[data2]",""
"passed","Mon Jan 26 21:49:32 CET 2026","Mon Jan 26 21:49:33 CET 2026","669","tests.api","test_get_user_by_id","","","","test_get_user_by_id",""
